occurrenceID	catalogNumber	collectionCode	genus	species	_labelType	recordedBy	day	month	year	associatedMedia	_locality	county	stateProvince	country	occurrenceRemarks
C239F73A-E74A-11E4-98CC-00155D012A60	817254	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	17	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817254-01	Søndeled	Kragerø	Telemark	Norway	
C239A4C4-E74A-11E4-B17F-00155D012A60	817253	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	18	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817253-01	Søndeled	Kragerø	Telemark	Norway	
C23A5036-E74A-11E4-ABB8-00155D012A60	817255	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	19	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817255-01	Søndeled	Kragerø	Telemark	Norway	
C23AA202-E74A-11E4-8C45-00155D012A60	817256	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	19	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817256-01	Søndeled	Kragerø	Telemark	Norway	
C23BF15C-E74A-11E4-8749-00155D012A60	817260	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	20	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817260-01	Søndeled	Kragerø	Telemark	Norway	
C23B4B9E-E74A-11E4-92FA-00155D012A60	817258	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	21	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817258-01	Søndeled	Kragerø	Telemark	Norway	
C23BA044-E74A-11E4-8605-00155D012A60	817259	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	22	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817259-01	Søndeled	Kragerø	Telemark	Norway	
C23C460C-E74A-11E4-A0FF-00155D012A60	817261	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	27	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817261-01	Søndeled	Kragerø	Telemark	Norway	
C23AF702-E74A-11E4-B4FB-00155D012A60	817257	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	28	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817257-01	Søndeled	Kragerø	Telemark	Norway	
C23C9B48-E74A-11E4-BC5B-00155D012A60	817262	Nordic-Herbarium	Nymphaea	alba	H	Aalen, Odd I.	30	7	1937	http://www.unimus.no/photos/image/jpeg/O-V-817262-01	Søndeled	Kragerø	Telemark	Norway	
ABEDA896-E74A-11E4-A3F7-00155D012A60	800491	Nordic-Herbarium				Aall, Nic. Benj.			1851	http://www.unimus.no/photos/image/jpeg/O-V-800491-01	Nissedal	Nissedal	Telemark	Norway	
CB8CDCB2-E74A-11E4-8BF6-00155D012A60	824269	Nordic-Herbarium	Drosera	anglica	H	Aase, Gunnulf E.	18	7	1952	http://www.unimus.no/photos/image/jpeg/O-V-824269-01	Drangedal	Drangedal	Telemark	Norway	
9AFED852-E74A-11E4-8A5B-00155D012A60	787703	Nordic-Herbarium	Salix	glauca	H	Andersen, Roald	4	7	1968	http://www.unimus.no/photos/image/jpeg/O-V-787703-01	Hjartdal	Hjartdal	Telemark	Norway	
9AFF2CEE-E74A-11E4-9D5D-00155D012A60	787704	Nordic-Herbarium	Salix	glauca	H	Andersen, Roald	4	7	1968	http://www.unimus.no/photos/image/jpeg/O-V-787704-01	Hjartdal	Hjartdal	Telemark	Norway	
A6D432D0-E74A-11E4-9182-00155D012A60	796604	Nordic-Herbarium	Salix	myrsinites	H	Andersen, Roald	13	7	1969	http://www.unimus.no/photos/image/jpeg/O-V-796604-01	Hjartdal	Hjartdal	Telemark	Norway	
158AD6E8-E74B-11E4-93A8-00155D012A60	868735	Nordic-Herbarium	Carex	saxatilis	H, T	Andersen, Roald	13	7	1969	http://www.unimus.no/photos/image/jpeg/O-V-868735-01	Hjartdal	Hjartdal	Telemark	Norway	
C9DD0644-E74A-11E4-82C9-00155D012A60	822972	Nordic-Herbarium	Draba	nivalis	H	Andersen, Roald	14	7	1969	http://www.unimus.no/photos/image/jpeg/O-V-822972-01	Hjartdal	Hjartdal	Telemark	Norway	
A6D38920-E74A-11E4-81C3-00155D012A60	796602	Nordic-Herbarium	Salix	myrsinites	T	Andersen, Roald	26	6	1972	http://www.unimus.no/photos/image/jpeg/O-V-796602-01	Hjartdal	Hjartdal	Telemark	Norway	
12250A64-E74B-11E4-B676-00155D012A60	866201	Nordic-Herbarium	Carex	pallescens	H	Andersen, Stein	1	7	1968	http://www.unimus.no/photos/image/jpeg/O-V-866201-01	Hjartdal	Hjartdal	Telemark	Norway	
132C6E3E-E74B-11E4-BCF4-00155D012A60	866955	Nordic-Herbarium	Carex	rostrata	H	Andersen, Stein	1	7	1968	http://www.unimus.no/photos/image/jpeg/O-V-866955-01	Hjartdal	Hjartdal	Telemark	Norway	
1CD671C8-E74B-11E4-8C41-00155D012A60	874076	Nordic-Herbarium	Scirpus	caespitosus	H	Andersen, Stein	1	7	1968	http://www.unimus.no/photos/image/jpeg/O-V-874076-01	Hjartdal	Hjartdal	Telemark	Norway	
11F2EF70-E74B-11E4-9551-00155D012A60	866061	Nordic-Herbarium	Carex	panicea	H	Andersen, Stein	13	7	1969	http://www.unimus.no/photos/image/jpeg/O-V-866061-01	Hjartdal	Hjartdal	Telemark	Norway	
19E4F9A8-E74B-11E4-8BF1-00155D012A60	871897	Nordic-Herbarium	Eriophorum	angustifolium	H	Andersen, Stein	26	6	1970	http://www.unimus.no/photos/image/jpeg/O-V-871897-01	Hjartdal	Hjartdal	Telemark	Norway	
B6933D1A-E74A-11E4-A970-00155D012A60	808594	Nordic-Herbarium	Cerastium	cerastoides	H	Andersen, Torleif	13	7	1969	http://www.unimus.no/photos/image/jpeg/O-V-808594-01	Hjartdal	Hjartdal	Telemark	Norway	
BAA62D90-E74A-11E4-A509-00155D012A60	811612	Nordic-Herbarium	Sagina	saginoides	H, T	Andersen, Torleif	25	6	1970	http://www.unimus.no/photos/image/jpeg/O-V-811612-01	Hjartdal	Hjartdal	Telemark	Norway	
B813117E-E74A-11E4-AAD6-00155D012A60	809699	Nordic-Herbarium	Cerastium	alpinum	H	Andersen, Torleif	9	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-809699-01	Hjartdal	Hjartdal	Telemark	Norway	
C9DD5A22-E74A-11E4-9FA9-00155D012A60	822973	Nordic-Herbarium	Draba	norvegica	H	Andersen, Torleif	9	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-822973-01	Hjartdal	Hjartdal	Telemark	Norway	
1225614E-E74B-11E4-8636-00155D012A60	866202	Nordic-Herbarium	Carex	pallescens	H, T	Andersen, Torleif	9	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-866202-01	Hjartdal	Hjartdal	Telemark	Norway	
BAA6D286-E74A-11E4-A97F-00155D012A60	811614	Nordic-Herbarium	Sagina	saginoides	H, T	Andersen, Torleif	11	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-811614-01	Hjartdal	Hjartdal	Telemark	Norway	
9AFA21CC-E74A-11E4-8D4F-00155D012A60	787689	Nordic-Herbarium	Salix	glauca	H, T	Andersen, Torleif	13	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-787689-01	Hjartdal	Hjartdal	Telemark	Norway	
9AFA7668-E74A-11E4-9750-00155D012A60	787690	Nordic-Herbarium	Salix	glauca	H, T	Andersen, Torleif	13	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-787690-01	Hjartdal	Hjartdal	Telemark	Norway	
F9C83996-E74A-11E4-B2A7-00155D012A60	848316	Nordic-Herbarium	Antennaria	dioica	H	Andersen, Torleif	13	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-848316-01	Hjartdal	Hjartdal	Telemark	Norway	N/A 
FEA121DA-E74A-11E4-8D8D-00155D012A60	851919	Nordic-Herbarium	Erigeron	uniflorum	H	Andersen, Torleif	13	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-851919-01	Hjartdal	Hjartdal	Telemark	Norway	
1458DB3A-E74B-11E4-832C-00155D012A60	867831	Nordic-Herbarium	Carex	pilulifera	H	Andersen, Torleif	13	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-867831-01	Hjartdal	Hjartdal	Telemark	Norway	N/A 
158B7E18-E74B-11E4-B617-00155D012A60	868737	Nordic-Herbarium	Carex	saxatilis	H	Andersen, Torleif	13	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-868737-01	Hjartdal	Hjartdal	Telemark	Norway	
158F21A8-E74B-11E4-BD98-00155D012A60	868748	Nordic-Herbarium	Carex	saxatilis	T	Andersen, Torleif	13	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-868748-01	Hjartdal	Hjartdal	Telemark	Norway	
CF9BE44C-E74A-11E4-B66D-00155D012A60	827368	Nordic-Herbarium	Rubus	idaeus	T	Andersen, Øystein	10	9	1965	http://www.unimus.no/photos/image/jpeg/O-V-827368-01	Holla	Nome	Telemark	Norway	
A85DDA0C-E74A-11E4-90E7-00155D012A60	797769	Nordic-Herbarium	Alnus	incana	T	Andersen, Øystein	24	7	1966	http://www.unimus.no/photos/image/jpeg/O-V-797769-01	Holla	Nome	Telemark	Norway	
A85E2CBE-E74A-11E4-8C33-00155D012A60	797770	Nordic-Herbarium	Alnus	incana	T	Andersen, Øystein	12	9	1966	http://www.unimus.no/photos/image/jpeg/O-V-797770-01	Holla	Nome	Telemark	Norway	
A860C47E-E74A-11E4-A597-00155D012A60	797778	Nordic-Herbarium	Alnus	incana	T	Andersen, Øystein	12	9	1966	http://www.unimus.no/photos/image/jpeg/O-V-797778-01	Holla	Nome	Telemark	Norway	
2A27CAB6-E74B-11E4-B075-00155D012A60	883769	Nordic-Herbarium	Lolium	perenne	H	Andreassen, Kr.	1	8	1952	http://www.unimus.no/photos/image/jpeg/O-V-883769-01	Kragerøen*	Kragerø	Telemark	Norway	
AE2BF22A-E74A-11E4-A135-00155D012A60	802198	Nordic-Herbarium	Betula	concinna	T	Andreassen, Kr.	28	7	1964	http://www.unimus.no/photos/image/jpeg/O-V-802198-01	Tinn	Tinn	Telemark	Norway	
C7D868FC-E74A-11E4-B2EC-00155D012A60	821447	Nordic-Herbarium	Papaver	somniferum	T	Andreassen, Kr.	29	7	1964	http://www.unimus.no/photos/image/jpeg/O-V-821447-01	Brevik	Porsgrunn	Telemark	Norway	
1593C6A4-E74B-11E4-9201-00155D012A60	868762	Nordic-Herbarium	Carex	saxatilis	T	Andreassen, Kr.	12	8	1965	http://www.unimus.no/photos/image/jpeg/O-V-868762-01	Nissedal	Nissedal	Telemark	Norway	
A9F451DE-E74A-11E4-800D-00155D012A60	798985	Nordic-Herbarium	Betula	verrucosa	T	Anon.	22	5	1901	http://www.unimus.no/photos/image/jpeg/O-V-798985-01	Gjerpen	Skien	Telemark	Norway	
59E0B78E-E74D-11E4-B801-00155D012A60		Nordic-Herbarium	Dactylis	glomerata	H	Anon.	16	7	1927	http://www.unimus.no/photos/image/jpeg/O-V-N/A-01	Eidanger	Porsgrunn	Telemark	Norway	bilde mangler, ingen recordnummer
9AF72E18-E74A-11E4-9590-00155D012A60	787680	Nordic-Herbarium	Salix	glauca	H, T	Apold, Johannes	19	7	1925	http://www.unimus.no/photos/image/jpeg/O-V-787680-01	Vinje	Vinje	Telemark	Norway	
A93787DE-E74A-11E4-B9B5-00155D012A60	798422	Nordic-Herbarium	Salix	vagans	H, T	Arrhenius, Axel	29	5	1876	http://www.unimus.no/photos/image/jpeg/O-V-798422-01	Lunde*	Nome	Telemark	Norway	
B8637916-E74A-11E4-B50A-00155D012A60	809928	Nordic-Herbarium	Cerastium	alpinum	H, T	Benum, Peter	8	8	1941	http://www.unimus.no/photos/image/jpeg/O-V-809928-01	Bø*	Bø	Telemark	Norway	
B7298DA6-E74A-11E4-9BA7-00155D012A60	809013	Nordic-Herbarium	Cerastium	trigynum	H, T	Benum, Peter	14	8	1941	http://www.unimus.no/photos/image/jpeg/O-V-809013-01	Bø	Bø	Telemark	Norway	
B729EDB4-E74A-11E4-81A3-00155D012A60	809014	Nordic-Herbarium	Cerastium	trigynum	H, T	Benum, Peter	14	8	1941	http://www.unimus.no/photos/image/jpeg/O-V-809014-01	Bø	Bø	Telemark	Norway	
121C3330-E74B-11E4-917B-00155D012A60	866180	Nordic-Herbarium	Carex	pallescens	H, T	Berg, Rolf Y.	23	6	1952	http://www.unimus.no/photos/image/jpeg/O-V-866180-01	Langesund	Bamble	Telemark	Norway	
31281D16-E74B-11E4-8652-00155D012A60	888862	Nordic-Herbarium	Puccinellia	retroflexa	T	Berg, Rolf Y.	24	6	1952	http://www.unimus.no/photos/image/jpeg/O-V-888862-01	Skåtøy	Kragerø	Telemark	Norway	
0461BA62-E74B-11E4-B20A-00155D012A60	856095	Nordic-Herbarium	Juncus	gerardi	T	Berg, Rolf Y.	25	6	1952	http://www.unimus.no/photos/image/jpeg/O-V-856095-01	Bamble	Bamble	Telemark	Norway	
12535DF6-E74B-11E4-A204-00155D012A60	866335	Nordic-Herbarium	Carex	paleacea	H, T	Berg, Rolf Y.	25	6	1952	http://www.unimus.no/photos/image/jpeg/O-V-866335-01	Bamble	Bamble	Telemark	Norway	
1251B820-E74B-11E4-9239-00155D012A60	866330	Nordic-Herbarium	Carex	paleacea	H, T	Berg, Rolf Y.	18	6	1958	http://www.unimus.no/photos/image/jpeg/O-V-866330-01	Skåtøy	Kragerø	Telemark	Norway	
17FA629A-E74B-11E4-87B0-00155D012A60	870551	Nordic-Herbarium	Carex	recta	H,T	Berg, Rolf Y.	18	6	1958	http://www.unimus.no/photos/image/jpeg/O-V-870551-01	Skåtøy	Kragerø	Telemark	Norway	
BBBB4F9E-E74A-11E4-A481-00155D012A60	812372	Nordic-Herbarium	Moehringia	trinervia	H, T	Berg, Rolf Y.	19	6	1958	http://www.unimus.no/photos/image/jpeg/O-V-812372-01	Skåtøy	Kragerø	Telemark	Norway	
DBB2E3D4-E74A-11E4-A039-00155D012A60	836458	Nordic-Herbarium	Myosotis	palustris	H, T	Berg, Rolf Y.	19	6	1958	http://www.unimus.no/photos/image/jpeg/O-V-836458-01	Skåtøy	Kragerø	Telemark	Norway	
DBB33636-E74A-11E4-B4D3-00155D012A60	836459	Nordic-Herbarium	Myosotis	palustris	H, T	Berg, Rolf Y.	20	6	1958	http://www.unimus.no/photos/image/jpeg/O-V-836459-01	Sannidal	Kragerø	Telemark	Norway	
312ABD0A-E74B-11E4-A323-00155D012A60	888870	Nordic-Herbarium	Puccinellia	retroflexa	H, T	Berg, Rolf Y.	21	6	1958	http://www.unimus.no/photos/image/jpeg/O-V-888870-01	Skåtøy	Kragerø	Telemark	Norway	
19E5EFF2-E74B-11E4-83E4-00155D012A60	871900	Nordic-Herbarium	Eriophorum	angustifolium	H	Birch, F.	25	5	1894	http://www.unimus.no/photos/image/jpeg/O-V-871900-01	Kviteseid. Halvgræs. 	Kviteseid	Telemark	Norway	
0D5CFE24-E74B-11E4-914A-00155D012A60	862705	Nordic-Herbarium	Carex	fusca	H	Bjørndal, Anders	15	7	1952	http://www.unimus.no/photos/image/jpeg/O-V-862705-01	Lunde	Nome	Telemark	Norway	
0464C8A6-E74B-11E4-A7BF-00155D012A60	856101	Nordic-Herbarium	Juncus	gerardi	H	Bjørndalen, Jørn Erik	12	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-856101-01	Gjerpen	Skien	Telemark	Norway	
12545C10-E74B-11E4-B9DB-00155D012A60	866338	Nordic-Herbarium	Carex	paleacea	H	Bjørndalen, Jørn Erik	12	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-866338-01	Gjerpen	Skien	Telemark	Norway	
17FDB0A8-E74B-11E4-99EC-00155D012A60	870561	Nordic-Herbarium	Carex	recta	H	Bjørndalen, Jørn Erik	12	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-870561-01	Gjerpen	Skien	Telemark	Norway	
BCBD50C2-E74A-11E4-A3AA-00155D012A60	813125	Nordic-Herbarium	Melandrium	album	H	Bjørndalen, Jørn Erik	20	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-813125-01	Gjerpen	Skien	Telemark	Norway	
A5D949DE-E74E-11E4-8CE9-00155D012A60	891453	Nordic-Herbarium	Secale	cereale	H	Bjørndalen, Jørn Erik	20	7	1971	http://www.unimus.no/photos/image/jpeg/O-V-891453-01	Gjerpen	Skien	Telemark	Norway	
