catalogNumber	_itemNo	_imageNo	placement	placementRemarks	url	generalRemarks
A25656		1	POL. 70,16	KARBON/PERM	PMO-A25656-01.tif	
A25670		1	POL. 70,16	KARBON/PERM	PMO-A25670-01.tif	
A25670a		1	POL. 70,16	KARBON/PERM	PMO-A25670a-01.tif	
A25670b		1	POL. 70,16	KARBON/PERM	PMO-A25670b-01.tif	
A25670c		1	POL. 70,16	KARBON/PERM	PMO-A25670c-01.tif	
A25118a		1	POL. 70,16	KARBON/PERM	PMO-A25118a-01.tif	
A25118b		1	POL. 70,16	KARBON/PERM	PMO-A25118b-01.tif	
A25118c		1	POL. 70,16	KARBON/PERM	PMO-A25118c-01.tif	
A25122a		1	POL. 70,16	KARBON/PERM	PMO-A25122a-01.tif	
A25122b		1	POL. 70,16	KARBON/PERM	PMO-A25122b-01.tif	
A25122c		1	POL. 70,16	KARBON/PERM	PMO-A25122c-01.tif	
A25122d		1	POL. 70,16	KARBON/PERM	PMO-A25122d-01.tif	
A25656a		1	POL. 70,16	KARBON/PERM	PMO-A25656a-01.tif	
A25656b		1	POL. 70,16	KARBON/PERM	PMO-A25656b-01.tif	
A25646c		1	POL. 70,16	KARBON/PERM	PMO-A25646c-01.tif	
A25676a		1	POL. 70,16	KARBON/PERM	PMO-A25676a-01.tif	
A25676b		1	POL. 70,16	KARBON/PERM	PMO-A25676b-01.tif	
A25650a		1	POL. 70,16	KARBON/PERM	PMO-A25650a-01.tif	
A25650b		1	POL. 70,16	KARBON/PERM	PMO-A25650b-01.tif	
A25687a-c		1	POL. 70,16	KARBON/PERM	PMO-A25687a-c-01.jpg	
A25154a-b		1	POL. 70,16	KARBON/PERM	PMO-A25154a-b-01.jpg	
A25119a-c		1	POL. 70,16	KARBON/PERM	PMO-A25119a-c-01.jpg	
A25620a-b		1	POL. 70,16	KARBON/PERM	PMO-A25620a-b-01.jpg	
A25533		1	POL. 70,16	KARBON/PERM	PMO-A25533-01.jpg	
A25183		1	POL. 70,16	KARBON/PERM	PMO-A25183-01.jpg	
A25691		1	POL. 70,16	KARBON/PERM	PMO-A25691-01.jpg	
A25693		1	POL. 70,16	KARBON/PERM	PMO-A25693-01.jpg	
A25694a-b		1	POL. 70,16	KARBON/PERM	PMO-A25694a-b-01.jpg	
A25144		1	POL. 70,16	KARBON/PERM	PMO-A25144-01.jpg	
A25627a-b		1	POL. 70,16	KARBON/PERM	PMO-A25627a-b-01.jpg	
A25156		1	POL. 70,16	KARBON/PERM	PMO-A25156-01.jpg	
A25685		1	POL. 70,16	KARBON/PERM	PMO-A25685-01.jpg	
A25140		1	POL. 70,16	KARBON/PERM	PMO-A25140-01.jpg	
A25695		1	POL. 70,16	KARBON/PERM	PMO-A25695-01.jpg	
A25662a-b		1	POL. 70,16	KARBON/PERM	PMO-A25662a-b-01.jpg	
A25696		1	POL. 70,16	KARBON/PERM	PMO-A25696-01.jpg	
A25633a-b		1	POL. 70,16	KARBON/PERM	PMO-A25633a-b-01.jpg	
A25662		1	POL. 70,16	KARBON/PERM	PMO-A25662-01.jpg	
A25655		1	POL. 70,16	KARBON/PERM	PMO-A25655-01.jpg	
A25631		1	POL. 70,16	KARBON/PERM	PMO-A25631-01.jpg	
A25684		1	POL. 70,16	KARBON/PERM	PMO-A25684-01.jpg	
A25117		1	POL. 70,16	KARBON/PERM	PMO-A25117-01.jpg	
A25634a-c		1	POL. 70,16	KARBON/PERM	PMO-A25634a-c-01.jpg	
A25134a-c		1	POL. 70,16	KARBON/PERM	PMO-A25134a-c-01.jpg	
A25653ba-d		1	POL. 70,16	KARBON/PERM	PMO-A25653ba-d-01.jpg	
A25653		1	POL. 70,16	KARBON/PERM	PMO-A25653-01.jpg	
A25153a-b		1	POL. 70,16	KARBON/PERM	PMO-A25153a-b-01.jpg	
A25132-2		1	POL. 70,16	KARBON/PERM	PMO-A25132-2-01.jpg	
A25124-2		1	POL. 70,16	KARBON/PERM	PMO-A25124-2-01.jpg	
231.765		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.765-01.jpg	
231.766		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.766-01.jpg	
231.767		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.767-01.jpg	
231.768		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.768-01.jpg	
231.769		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.769-01.jpg	
231.770		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.770-01.jpg	
231.771		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.771-01.jpg	
231.772		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.772-01.jpg	
231.773		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.773-01.jpg	
231.774		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.774-01.jpg	
231.775		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.775-01.jpg	
231.776		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.776-01.jpg	
231.777		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.777-01.jpg	
A5049		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5049-01.jpg	
A9811		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9811-01.jpg	
A9808		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9808-01.jpg	
A9964		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9964-01.jpg	
A9957		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9957-01.jpg	
A9955		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9955-01.jpg	
A9954		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9954-01.jpg	
A5043		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5043-01.jpg	
A5044		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5044-01.jpg	
A9791		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9791-01.jpg	
A5047		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5047-01.jpg	
A9789		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9789-01.jpg	
A9809		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9809-01.jpg	
A9814		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9814-01.jpg	
A5012		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5012-01.jpg	
A5071		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5071-01.jpg	
A5014		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5014-01.jpg	
A5010		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5010-01.jpg	
A9965		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9965-01.jpg	
A5052		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5052-01.jpg	
A9959		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9959-01.jpg	
A9976		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9976-01.jpg	
A5054		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5054-01.jpg	
A5007		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5007-01.jpg	
A5006		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5006-01.jpg	
A5008		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5008-01.jpg	
A5009		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5009-01.jpg	
A5068		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5068-01.jpg	
A5070		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5070-01.jpg	
A9941		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9941-01.jpg	
A9799		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9799-01.jpg	
A9939		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9939-01.jpg	
A5069		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5069-01.jpg	
A9940		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9940-01.jpg	
A9937		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9937-01.jpg	
A9938		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9938-01.jpg	
A9935		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9935-01.jpg	
A5011		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5011-01.jpg	
A9943		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9943-01.jpg	
A5005		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5005-01.jpg	
A5057		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5057-01.jpg	
A5059		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5059-01.jpg	
A9819		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9819-01.jpg	
A9805		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9805-01.jpg	
A5053		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5053-01.jpg	
A5058		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-5058-01.jpg	
A5064		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5064-01.jpg	
A5065		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5065-01.jpg	
A9974		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9974-01.jpg	
A9975		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9975-01.jpg	
A25437		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A25437-01.jpg	
A25433		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A25433-01.jpg	
A9797		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9797-01.jpg	
A9948		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9948-01.jpg	
A9944		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9944-01.jpg	
A9934		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9934-01.jpg	
A9946		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9946-01.jpg	
A5056		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5056-01.jpg	
A9794		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9794-01.jpg	
A9796		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9796-01.jpg	
A9793		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9793-01.jpg	
A9795		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9795-01.jpg	
A9945		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9947-01.jpg	
A9801		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9801-01.jpg	
A9951		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9951-01.jpg	
A9962		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A9962-01.jpg	
A5013		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A5013-01.jpg	
231.778		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.778-01.jpg	
231.844		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.844-01.jpg	
A25862		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A25862-01.jpg	
A25753		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A25753-01.jpg	
A25868		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-A25868-01.jpg	
231.779		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.779-01.jpg	
231.784		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.784-01.jpg	
231.783		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.783-01.jpg	
231.787		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.787-01.jpg	
231.780		1	POL. 70,19	Karb.perm.  Hornsund-treskelen, Brachiopoda	PMO-231.780-01.jpg	
